utterance,labels,delexicalised,intent
What is the temperature today in Commonwealth of Kentucky,O O O O B-forecast_datetime O B-region I-region I-region ,What is the temperature _forecast_datetime_ in _region_,snips-assistant:TemperatureForecast
What is the temperature on wednesday in the State of Vermont,O O O O B-forecast_datetime I-forecast_datetime O O B-region I-region I-region ,What is the temperature _forecast_datetime_ in the _region_,snips-assistant:TemperatureForecast
What is the tempersture today in Nevada,O O O O B-forecast_datetime O B-region ,What is the tempersture _forecast_datetime_ in _region_,snips-assistant:TemperatureForecast
What is the temperature on wednesday in Holy See,O O O O B-forecast_datetime I-forecast_datetime O B-country I-country ,What is the temperature _forecast_datetime_ in _country_,snips-assistant:TemperatureForecast
What is the temperature this weekend in Valparaiso,O O O O B-forecast_datetime I-forecast_datetime O B-city ,What is the temperature _forecast_datetime_ in _city_,snips-assistant:TemperatureForecast
what is temperature in Pikesville today,O O O O B-city B-forecast_datetime ,what is temperature in _city_ _forecast_datetime_,snips-assistant:TemperatureForecast
What will the temperature be in Fishersville this afternoon,O O O O O O B-city B-forecast_datetime I-forecast_datetime ,What will the temperature be in _city_ _forecast_datetime_,snips-assistant:TemperatureForecast
What is the temperature tomorrow in dominica,O O O O B-forecast_datetime O B-country ,What is the temperature _forecast_datetime_ in _country_,snips-assistant:TemperatureForecast
What is the temperature in saudi arabia in charter township of clinton tomorrow,O O O O O B-country I-country O B-city I-city I-city I-city B-forecast_datetime ,What is the temperature in _country_ in _city_ _forecast_datetime_,snips-assistant:TemperatureForecast
What is the temperature this weekend in eldridge,O O O O B-forecast_datetime I-forecast_datetime O B-city ,What is the temperature _forecast_datetime_ in _city_,snips-assistant:TemperatureForecast
What is the temperature in hopkins on wednesday,O O O O O B-city B-forecast_datetime I-forecast_datetime ,What is the temperature in _city_ _forecast_datetime_,snips-assistant:TemperatureForecast
What is the temperature in principality of andorra the next three days,O O O O O B-country I-country I-country B-forecast_datetime I-forecast_datetime I-forecast_datetime I-forecast_datetime ,What is the temperature in _country_ _forecast_datetime_,snips-assistant:TemperatureForecast
What is the temperature in Tennessee right now,O O O O O B-region B-forecast_datetime I-forecast_datetime ,What is the temperature in _region_ _forecast_datetime_,snips-assistant:TemperatureForecast
What is the temperature in Montana tomorrow,O O O O O B-region B-forecast_datetime ,What is the temperature in _region_ _forecast_datetime_,snips-assistant:TemperatureForecast
What is the temperature in Malta island this weekend,O O O O O B-country I-country B-forecast_datetime I-forecast_datetime ,What is the temperature in _country_ _forecast_datetime_,snips-assistant:TemperatureForecast
What is the temperature in Taiwan on wednesday,O O O O O B-country B-forecast_datetime I-forecast_datetime ,What is the temperature in _country_ _forecast_datetime_,snips-assistant:TemperatureForecast
What is the temperature in republic of china this afternoon,O O O O O B-country I-country I-country B-forecast_datetime I-forecast_datetime ,What is the temperature in _country_ _forecast_datetime_,snips-assistant:TemperatureForecast
What is the temperature in davis the next three days,O O O O O B-city B-forecast_datetime I-forecast_datetime I-forecast_datetime I-forecast_datetime ,What is the temperature in _city_ _forecast_datetime_,snips-assistant:TemperatureForecast
I need a temperature report for Malta Island,O O O O O O B-country I-country ,I need a temperature report for _country_,snips-assistant:TemperatureForecast
I need a temperature report for Missouri,O O O O O O B-region ,I need a temperature report for _region_,snips-assistant:TemperatureForecast
I need the Republic of Burundi temperature,O O O B-country I-country I-country O ,I need the _country_ temperature,snips-assistant:TemperatureForecast
What is the temperature in the republic of south sudan right now,O O O O O O B-country I-country I-country I-country B-forecast_datetime I-forecast_datetime ,What is the temperature in the _country_ _forecast_datetime_,snips-assistant:TemperatureForecast
What is the temperature in republic of china the next three days,O O O O O B-country I-country I-country B-forecast_datetime I-forecast_datetime I-forecast_datetime I-forecast_datetime ,What is the temperature in _country_ _forecast_datetime_,snips-assistant:TemperatureForecast
what is the temperature in Rossford the next three days,O O O O O B-city B-forecast_datetime I-forecast_datetime I-forecast_datetime I-forecast_datetime ,what is the temperature in _city_ _forecast_datetime_,snips-assistant:TemperatureForecast
what is tomorrow's temperature in France,O O B-forecast_datetime O O O B-country ,what is _forecast_datetime_'s temperature in _country_,snips-assistant:TemperatureForecast
I need the temperature in Titusville next monday,O O O O O B-city B-forecast_datetime I-forecast_datetime ,I need the temperature in _city_ _forecast_datetime_,snips-assistant:TemperatureForecast
what will be the temperature in Zambia this weekend,O O O O O O B-country B-forecast_datetime I-forecast_datetime ,what will be the temperature in _country_ _forecast_datetime_,snips-assistant:TemperatureForecast
What will the temperature be for friday in Euless,O O O O O B-forecast_datetime I-forecast_datetime O B-city ,What will the temperature be _forecast_datetime_ in _city_,snips-assistant:TemperatureForecast
Give me the temperature forecast for Fiji next monday,O O O O O O B-country B-forecast_datetime I-forecast_datetime ,Give me the temperature forecast for _country_ _forecast_datetime_,snips-assistant:TemperatureForecast
Tell me the temperature in the State of Florida right now,O O O O O O B-region I-region I-region B-forecast_datetime I-forecast_datetime ,Tell me the temperature in the _region_ _forecast_datetime_,snips-assistant:TemperatureForecast
I need the temperature for Florida today,O O O O O B-region B-forecast_datetime ,I need the temperature for _region_ _forecast_datetime_,snips-assistant:TemperatureForecast
Can you tell me the temperature in San Marino for next monday,O O O O O O O B-country I-country B-forecast_datetime I-forecast_datetime I-forecast_datetime ,Can you tell me the temperature in _country_ _forecast_datetime_,snips-assistant:TemperatureForecast
what is the temperature today in Pennsylvania,O O O O B-forecast_datetime O B-region ,what is the temperature _forecast_datetime_ in _region_,snips-assistant:TemperatureForecast
what is the temperature today in Seychelles,O O O O B-forecast_datetime O B-country ,what is the temperature _forecast_datetime_ in _country_,snips-assistant:TemperatureForecast
what is the temperature today in New Jersey,O O O O B-forecast_datetime O B-region I-region ,what is the temperature _forecast_datetime_ in _region_,snips-assistant:TemperatureForecast
what is the temperature today in Louisiana,O O O O B-forecast_datetime O B-region ,what is the temperature _forecast_datetime_ in _region_,snips-assistant:TemperatureForecast
I need the temperature report for this afternoon in the Republic of Belarus,O O O O O B-forecast_datetime I-forecast_datetime I-forecast_datetime O O B-country I-country I-country ,I need the temperature report _forecast_datetime_ in the _country_,snips-assistant:TemperatureForecast
For this weekend in the UK I need the temperature report,B-forecast_datetime I-forecast_datetime I-forecast_datetime O O B-country O O O O O ,_forecast_datetime_ in the _country_ I need the temperature report,snips-assistant:TemperatureForecast
What is the temperature in Plurinational State of Bolivia tonight,O O O O O B-country I-country I-country I-country B-forecast_datetime ,What is the temperature in _country_ _forecast_datetime_,snips-assistant:TemperatureForecast
What is the temperature in Alaska tomorow,O O O O O B-region B-forecast_datetime ,What is the temperature in _region_ _forecast_datetime_,snips-assistant:TemperatureForecast
What is the temperature in the Lone Star State tomorrow,O O O O O O B-region I-region I-region B-forecast_datetime ,What is the temperature in the _region_ _forecast_datetime_,snips-assistant:TemperatureForecast
What is the temperature in lauderdale by the sea this weekend,O O O O O B-city I-city I-city I-city B-forecast_datetime I-forecast_datetime ,What is the temperature in _city_ _forecast_datetime_,snips-assistant:TemperatureForecast
What is the temperature in tunisia borough of staten island right now,O O O O O B-country B-city I-city I-city I-city B-forecast_datetime I-forecast_datetime ,What is the temperature in _country_ _city_ _forecast_datetime_,snips-assistant:TemperatureForecast
What is the temperature in Bolivia tomorow,O O O O O B-country B-forecast_datetime ,What is the temperature in _country_ _forecast_datetime_,snips-assistant:TemperatureForecast
What is the temperature in people's democratic republic of algeria tomorow,O O O O O B-country I-country I-country I-country I-country I-country B-forecast_datetime ,What is the temperature in _country_ _forecast_datetime_,snips-assistant:TemperatureForecast
What is the temperature in the netherlands for tomorow,O O O O O B-country I-country B-forecast_datetime I-forecast_datetime ,What is the temperature in _country_ _forecast_datetime_,snips-assistant:TemperatureForecast
What is the temperature in Utah this weekend,O O O O O B-region B-forecast_datetime I-forecast_datetime ,What is the temperature in _region_ _forecast_datetime_,snips-assistant:TemperatureForecast
What is the temperature in the State of Iowa for this weekend,O O O O O O B-region I-region I-region B-forecast_datetime I-forecast_datetime I-forecast_datetime ,What is the temperature in the _region_ _forecast_datetime_,snips-assistant:TemperatureForecast
What's the temperature going to be in Woodway Kingdom of the Netherlands,O O O O O O O O B-city B-country I-country I-country I-country ,What's the temperature going to be in _city_ _country_,snips-assistant:TemperatureForecast
What is the expected temperature in Surabaya tomorrow,O O O O O O B-city B-forecast_datetime ,What is the expected temperature in _city_ _forecast_datetime_,snips-assistant:TemperatureForecast
What will this weekend's temperature be in Brownsville,O O B-forecast_datetime I-forecast_datetime O O O O B-city ,What will _forecast_datetime_'s temperature be in _city_,snips-assistant:TemperatureForecast
Give me the temperature for São Tomé and Príncipe,O O O O O B-country I-country I-country I-country ,Give me the temperature for _country_,snips-assistant:TemperatureForecast
For next monday I need the temperature for the Republic of Benin,B-forecast_datetime I-forecast_datetime I-forecast_datetime O O O O O O B-country I-country I-country ,_forecast_datetime_ I need the temperature for the _country_,snips-assistant:TemperatureForecast
For today give me the temperature report for Vatican Hill,B-forecast_datetime I-forecast_datetime O O O O O O B-country I-country ,_forecast_datetime_ give me the temperature report for _country_,snips-assistant:TemperatureForecast
What is the temperature in Serbia on tuesday,O O O O O B-country B-forecast_datetime I-forecast_datetime ,What is the temperature in _country_ _forecast_datetime_,snips-assistant:TemperatureForecast
