"They may be able to help your amnesia.
",O O O O O O O O O ,"They may be able to help your amnesia.
",None
"No...
",O O ,"No...
",None
"I don't want anyone tampering with... my brain or my memory.
",O O O O O O O O O O O O O O ,"I don't want anyone tampering with... my brain or my memory.
",None
"My memory belongs to me.
",O O O O O O ,"My memory belongs to me.
",None
"I'm starting to recall things little by little.
",O O O O O O O O O O ,"I'm starting to recall things little by little.
",None
"I think I'll just let it take its course.
",O O O O O O O O O O O ,"I think I'll just let it take its course.
",None
"You may be right.
",O O O O O ,"You may be right.
",None
"Great, a phone call in the middle of dinner.
",O O O O O O O O O O O ,"Great, a phone call in the middle of dinner.
",None
"Hello?
",O O ,"Hello?
",None
"Hi, Toku-san.
",O O O O ,"Hi, Toku-san.
",None
"All right, I got it.
",O O O O O O O ,"All right, I got it.
",None
"Be right there!
",O O O O ,"Be right there!
",None
"Sorry, you two.
",O O O O O ,"Sorry, you two.
",None
"Watch the clinic.
",O O O O ,"Watch the clinic.
",None
"I have to go to Sado right now.
",O O O O O O O O O ,"I have to go to Sado right now.
",None
"Sado?
",O O ,"Sado?
",None
"You two are crazy!
",O O O O O ,"You two are crazy!
",None
"What fools want to go out to sea at night!
",O O O O O O O O O O O ,"What fools want to go out to sea at night!
",None
"?
",O ,"?
",None
"What about you?
",O O O O ,"What about you?
",None
"This is work!
",O O O O ,"This is work!
",None
"It's starting to get choppy.
",O O O O O O O ,"It's starting to get choppy.
",None
"You two better move over here.
",O O O O O O O ,"You two better move over here.
",None
"Toya, hurry!
",O O O O ,"Toya, hurry!
",None
"- Don't stand!
",O O O O O ,"- Don't stand!
",None
"- But, Toya!
",O O O O O ,"- But, Toya!
",None
"Aya!
",O O ,"Aya!
",None
"Wait!
",O O ,"Wait!
",None
"Hang on!
",O O O ,"Hang on!
",None
"Aya!
",O O ,"Aya!
",None
"What was that?
",O O O O ,"What was that?
",None
"Toya hasn't been the same since then?
",O O O O O O O O O ,"Toya hasn't been the same since then?
",None
"Well, he just seems to be depressed.
",O O O O O O O O O ,"Well, he just seems to be depressed.
",None
"I still can't believe it.
",O O O O O O O ,"I still can't believe it.
",None
"You both fell into the sea, and survived.
",O O O O O O O O O O ,"You both fell into the sea, and survived.
",None
"It's a miracle.
",O O O O O ,"It's a miracle.
",None
"But how did you get to shore before my boat?
",O O O O O O O O O O O ,"But how did you get to shore before my boat?
",None
"I don't remember any of it.
",O O O O O O O O ,"I don't remember any of it.
",None
"When I came to, I was in Toya's arms.
",O O O O O O O O O O O O ,"When I came to, I was in Toya's arms.
",None
"Ever since then, he just gazes out at the ocean.
",O O O O O O O O O O O O ,"Ever since then, he just gazes out at the ocean.
",None
