id,tokens,slots,intent
train-00001,BOS what is the cost of a round trip flight from pittsburgh to atlanta beginning on april twenty fifth and returning on may sixth EOS,O O O O O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name O O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number O O O B-return_date.month_name B-return_date.day_number O,atis_airfare
train-00002,BOS now i need a flight leaving fort worth and arriving in denver no later than 2 pm next monday EOS,O O O O O O O B-fromloc.city_name I-fromloc.city_name O O O B-toloc.city_name B-arrive_time.time_relative I-arrive_time.time_relative I-arrive_time.time_relative B-arrive_time.time I-arrive_time.time B-arrive_date.date_relative B-arrive_date.day_name O,atis_flight
train-00003,BOS i need to fly from kansas city to chicago leaving next wednesday and returning the following day EOS,O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.date_relative B-depart_date.day_name O O B-return_date.date_relative I-return_date.date_relative I-return_date.date_relative O,atis_flight
train-00004,BOS what is the meaning of meal code s EOS,O O O O O O B-meal_code I-meal_code I-meal_code O,atis_abbreviation
train-00005,BOS show me all flights from denver to pittsburgh which serve a meal for the day after tomorrow EOS,O O O O O O B-fromloc.city_name O B-toloc.city_name O O O B-meal O B-depart_date.today_relative I-depart_date.today_relative I-depart_date.today_relative I-depart_date.today_relative O,atis_flight
train-00006,BOS show me all us air flights from atlanta to denver for the day after tomorrow EOS,O O O O B-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.today_relative I-depart_date.today_relative I-depart_date.today_relative I-depart_date.today_relative O,atis_flight
train-00007,BOS list the nonstop flights early tuesday morning from dallas to atlanta EOS,O O O B-flight_stop O B-arrive_time.period_mod B-arrive_date.day_name B-arrive_time.period_of_day O B-fromloc.city_name O B-toloc.city_name O,atis_flight
train-00008,BOS show me the flights from st. petersburg to toronto that arrive early in the morning EOS,O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-arrive_time.period_mod O O B-arrive_time.period_of_day O,atis_flight
train-00009,BOS i need a listing of flights from new york city to montreal canada departing thursday in the morning EOS,O O O O O O O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-toloc.country_name O B-depart_date.day_name O O B-depart_time.period_of_day O,atis_flight
train-00010,BOS show me the flights on american airlines which fly from st. petersburg to ontario canada with a stopover in st. louis EOS,O O O O O O B-airline_name I-airline_name O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-toloc.country_name O O O O B-stoploc.city_name I-stoploc.city_name O,atis_flight
train-00011,BOS now show me ground transportation in houston on monday afternoon EOS,O O O O O O O B-city_name O B-day_name B-period_of_day O,atis_ground_service
train-00012,BOS show me the ground transportation schedule in philadelphia in the morning on wednesday EOS,O O O O O O O O B-city_name O O B-period_of_day O B-day_name O,atis_ground_service
train-00013,BOS show me the ground transportation schedule in san francisco on thursday evening EOS,O O O O O O O O B-city_name I-city_name O B-day_name B-period_of_day O,atis_ground_service
train-00014,BOS i need a flight from toronto to san diego with a layover in washington dc on air canada EOS,O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O B-stoploc.city_name B-stoploc.state_code O B-airline_name I-airline_name O,atis_flight
train-00015,BOS are there any flights from boston to san francisco which stop in washington dc EOS,O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O B-stoploc.city_name B-stoploc.state_code O,atis_flight
train-00016,BOS i need a flight on air canada from toronto to san diego with a layover in dc EOS,O O O O O O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O B-stoploc.state_code O,atis_flight
train-00017,BOS what are the restrictions on the cheapest one way fare between boston and oakland EOS,O O O O O O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name O,atis_restriction
train-00018,BOS what are the air restrictions on flights from pittsburgh to atlanta for the airfare of 416 dollars EOS,O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O O O O B-fare_amount I-fare_amount O,atis_restriction
train-00019,BOS what's restriction ap68 EOS,O O O B-restriction_code O,atis_restriction
train-00020,BOS list california airports EOS,O O B-state_name O O,atis_airport
train-00021,BOS what is the ground transportation available in fort worth texas EOS,O O O O O O O O B-city_name I-city_name B-state_name O,atis_ground_service
train-00022,BOS which airport is closest to ontario california EOS,O O O O B-mod O B-city_name B-state_name O,atis_airport
