"Yuhi!
",O O ,"Yuhi!
",None
"I...
",O O ,"I...
",None
"Just go!
",O O O ,"Just go!
",None
"If you're going, just go.
",O O O O O O O O ,"If you're going, just go.
",None
"So that my resolve won't waver.
",O O O O O O O O ,"So that my resolve won't waver.
",None
"I might change my mind, you know?
",O O O O O O O O O ,"I might change my mind, you know?
",None
"I'm sorry.
",O O O O ,"I'm sorry.
",None
"Yuhi, thank you.
",O O O O O ,"Yuhi, thank you.
",None
"Silly... this isn't good-bye forever.
",O O O O O O O O ,"Silly... this isn't good-bye forever.
",None
"You can come up again anytime.
",O O O O O O O ,"You can come up again anytime.
",None
"I don't know how to say it too well...
",O O O O O O O O O O O ,"I don't know how to say it too well...
",None
"But I just want you to know... that I really like you.
",O O O O O O O O O O O O O O ,"But I just want you to know... that I really like you.
",None
"I know.
",O O O ,"I know.
",None
"One more hour till we reach Niigata.
",O O O O O O O O ,"One more hour till we reach Niigata.
",None
"Your mother seems to be in good spirits today.
",O O O O O O O O O O ,"Your mother seems to be in good spirits today.
",None
"I'll put the flowers in a vase.
",O O O O O O O O O ,"I'll put the flowers in a vase.
",None
"Thank you.
",O O O ,"Thank you.
",None
"Mother, it's me, Kagami.
",O O O O O O O O ,"Mother, it's me, Kagami.
",None
"I went to Germany recently.
",O O O O O O ,"I went to Germany recently.
",None
"An ancient ruin was discovered.
",O O O O O O ,"An ancient ruin was discovered.
",None
"I think the analysis will show good results.
",O O O O O O O O O ,"I think the analysis will show good results.
",None
"I've received news from Greece and Borneo.
",O O O O O O O O O ,"I've received news from Greece and Borneo.
",None
"Math, 100%.
",O O O O O ,"Math, 100%.
",None
"Language, 100% Science, too!
",O O O O O O O O ,"Language, 100% Science, too!
",None
"You are amazing, Kagami!
",O O O O O O ,"You are amazing, Kagami!
",None
"You're perfect!
",O O O O ,"You're perfect!
",None
"Such a genius!
",O O O O ,"Such a genius!
",None
"All Mikage children are perfect!
",O O O O O O ,"All Mikage children are perfect!
",None
"She's the only one who's perfect, Mother.
",O O O O O O O O O O O ,"She's the only one who's perfect, Mother.
",None
"It was in the library at the main house... that I found the photo.
",O O O O O O O O O O O O O O O O ,"It was in the library at the main house... that I found the photo.
",None
"I was in the fifth grade.
",O O O O O O O ,"I was in the fifth grade.
",None
"Someone in the family must have captured... that moment of her awakening.
",O O O O O O O O O O O O O O ,"Someone in the family must have captured... that moment of her awakening.
",None
"A dignified woman, a goddess of passion.
",O O O O O O O O O ,"A dignified woman, a goddess of passion.
",None
"A girl of charm, a maiden of melancholy.
",O O O O O O O O O O ,"A girl of charm, a maiden of melancholy.
",None
"Thinking about her was my sole consolation.
",O O O O O O O O ,"Thinking about her was my sole consolation.
",None
"The purpose of C-Project... is to create perfect women to build a new world.
",O O O O O O O O O O O O O O O O ,"The purpose of C-Project... is to create perfect women to build a new world.
",None
"Together with these women...
",O O O O O ,"Together with these women...
",None
"I will create superior human beings.
",O O O O O O O ,"I will create superior human beings.
",None
"I'll see you again, Mother.
",O O O O O O O O ,"I'll see you again, Mother.
",None
"You... who are you?
",O O O O O O ,"You... who are you?
",None
"I wonder...
",O O O ,"I wonder...
",None
"Who am I?
",O O O O ,"Who am I?
",None
