utterance,labels,delexicalised,intent
I need to hear the song Aspro Mavro from Bill Szymczyk on Youtube,0 0 0 0 0 B-music_item B-track I-track 0 B-artist I-artist 0 B-service ,I need to hear the [music_item] [track] from [artist] on [service],PlayMusic
play Yo Ho from the new york pops on Youtube,0 B-track I-track 0 B-artist I-artist I-artist I-artist 0 B-service ,play [track] from [artist] on [service],PlayMusic
Play some seventies music by Janne Puurtinen on Youtube.,0 0 B-year 0 0 B-artist I-artist 0 B-service 0 ,Play some [year] music by [artist] on [service].,PlayMusic
play the MÃºsica Da SÃ©rie De Filmes O Hobbit album by Alex Otaola,0 0 B-album I-album I-album I-album I-album I-album I-album B-music_item 0 B-artist I-artist ,play the [album] [music_item] by [artist],PlayMusic
Play Magic Sam from the thirties,0 B-artist I-artist 0 0 B-year ,Play [artist] from the [year],PlayMusic
Play The Soft Parade.,0 B-track I-track I-track 0 ,Play [track].,PlayMusic
Play music by blowfly from the seventies,0 0 0 B-artist 0 0 B-year ,Play music by [artist] from the [year],PlayMusic
play Jeff Pilson on Youtube,0 B-artist I-artist 0 B-service ,play [artist] on [service],PlayMusic
play a tune by Syreeta Wright from twenties from the top,0 0 B-music_item 0 B-artist I-artist 0 B-year 0 0 B-sort ,play a [music_item] by [artist] from [year] from the [sort],PlayMusic
Please play me Jerry Lee Lewis's If You Say So track.,0 0 0 B-artist I-artist I-artist 0 B-track I-track I-track I-track B-music_item 0 ,Please play me [artist]'s [track] [music_item].,PlayMusic
play the newest by Exuma,0 0 B-sort 0 B-artist ,play the [sort] by [artist],PlayMusic
Play the album alas y raÃ­ces by Dave Pybus.,0 0 B-music_item B-album I-album I-album 0 B-artist I-artist 0 ,Play the [music_item] [album] by [artist].,PlayMusic
play music by Helen Ward,0 0 0 B-artist I-artist ,play music by [artist],PlayMusic
Play some sixties music.,0 0 B-year 0 ,Play some [year] music.,PlayMusic
Plan an album by Roni Duani.,0 0 B-music_item 0 B-artist I-artist 0 ,Plan an [music_item] by [artist].,PlayMusic
I want to listen to Born On The Bayou on Iheart,0 0 0 0 0 B-track I-track I-track I-track 0 B-service ,I want to listen to [track] on [service],PlayMusic
Play the best music by Arthur Johnston.,0 0 B-sort 0 0 B-artist I-artist 0 ,Play the [sort] music by [artist].,PlayMusic
Play the song gangsta? by Siavash Ghomayshi,0 0 B-music_item B-track 0 0 B-artist I-artist ,Play the [music_item] [track]? by [artist],PlayMusic
Play Lukasz Gottwald album on Zvooq,0 B-artist I-artist B-music_item 0 B-service ,Play [artist] [music_item] on [service],PlayMusic
Play me some music by Prince Alla from the twenties,0 0 0 0 0 B-artist I-artist 0 0 B-year ,Play me some music by [artist] from the [year],PlayMusic
Play the newest 2016 ep from Boaz Mauda.,0 0 B-sort B-year B-music_item 0 B-artist I-artist 0 ,Play the [sort] [year] [music_item] from [artist].,PlayMusic
play Escapada,0 B-playlist ,play [playlist],PlayMusic
"I'd like to hear music from 1951, preferably a soundtrack.",0 0 0 0 0 0 B-year 0 0 0 B-music_item 0 ,"I'd like to hear music from [year], preferably a [music_item].",PlayMusic
Play 2003 Ben Burnley on Spotify,0 B-year B-artist I-artist 0 B-service ,Play [year] [artist] on [service],PlayMusic
Play Marche Lorraine by Rachael Lampa,0 B-track I-track 0 B-artist I-artist ,Play [track] by [artist],PlayMusic
Play some soul music,0 0 B-genre 0 ,Play some [genre] music,PlayMusic
Play Robin Hood Rescuing Three Squires by Bhupinder Singh,0 B-track I-track I-track I-track I-track 0 B-artist I-artist ,Play [track] by [artist],PlayMusic
Play the top-5 songs from Paddy Reilly on zvooq,0 0 B-sort 0 0 B-artist I-artist 0 B-service ,Play the [sort] songs from [artist] on [service],PlayMusic
Open Groove Shark and play native us,0 B-service I-service 0 0 B-genre I-genre ,Open [service] and play [genre],PlayMusic
play chant by Prurient,0 B-music_item 0 B-artist ,play [music_item] by [artist],PlayMusic
play Shake Your Head,0 B-track I-track I-track ,play [track],PlayMusic
Play Justin Broadrick's music on Slacker.,0 B-artist I-artist 0 0 0 B-service 0 ,Play [artist]'s music on [service].,PlayMusic
Play some 1954 songs on my Itunes.,0 0 B-year 0 0 0 B-service 0 ,Play some [year] songs on my [service].,PlayMusic
Play a 2011 ballad by Evil Jared Hasselhoff on Lastfm.,0 0 B-year B-music_item 0 B-artist I-artist I-artist 0 B-service 0 ,Play a [year] [music_item] by [artist] on [service].,PlayMusic
play laura love songs from 1959,0 B-artist I-artist 0 0 B-year ,play [artist] songs from [year],PlayMusic
Play Inside The Eye by twinkie clark,0 B-album I-album I-album 0 B-artist I-artist ,Play [album] by [artist],PlayMusic
Play Goa music on Google Music.,0 B-genre 0 0 B-service I-service 0 ,Play [genre] music on [service].,PlayMusic
Play The Way It Has To Be by Tom G Warrior on Zvooq,0 B-album I-album I-album I-album I-album I-album 0 B-artist I-artist I-artist 0 B-service ,Play [album] by [artist] on [service],PlayMusic
Play some nineties chant music from Nicoleta Nicola,0 0 B-year B-music_item 0 0 B-artist I-artist ,Play some [year] [music_item] music from [artist],PlayMusic
"Play Alone, Again from Mike Viola",0 B-album I-album 0 B-artist I-artist ,Play [album] from [artist],PlayMusic
open Spotify and play a couple of celtic songs,0 B-service 0 0 0 0 0 B-genre 0 ,open [service] and play a couple of [genre] songs,PlayMusic
Play a concerto by Thekra.,0 0 B-music_item 0 B-artist 0 ,Play a [music_item] by [artist].,PlayMusic
play The Trail Of The Lonesome Pine on Netflix,0 B-track I-track I-track I-track I-track I-track 0 B-service ,play [track] on [service],PlayMusic
Please play the newest music by Evil Jared Hasselhoff,0 0 0 B-sort 0 0 B-artist I-artist I-artist ,Please play the [sort] music by [artist],PlayMusic
Play NoctÃ¡mbulo pl,0 B-playlist 0 ,Play [playlist] pl,PlayMusic
Open up Lastfm and play some songs.,0 0 B-service 0 0 0 0 ,Open up [service] and play some songs.,PlayMusic
Can you play a top 5 song by Manos Hadjidakis,0 0 0 0 B-sort I-sort B-music_item 0 B-artist I-artist ,Can you play a [sort] [music_item] by [artist],PlayMusic
Play sixties on Spotify,0 B-year 0 B-service ,Play [year] on [service],PlayMusic
Play music by Antonella Barba from the album Bath,0 0 0 B-artist I-artist 0 0 B-music_item B-album ,Play music by [artist] from the [music_item] [album],PlayMusic
Play melody music from the fourties.,0 B-music_item 0 0 0 B-year 0 ,Play [music_item] music from the [year].,PlayMusic
Play some Katiejane Garside on Vimeo.,0 0 B-artist I-artist 0 B-service 0 ,Play some [artist] on [service].,PlayMusic
Play me a top-ten song by Phil Ochs on Groove Shark,0 0 0 B-sort B-music_item 0 B-artist I-artist 0 B-service I-service ,Play me a [sort] [music_item] by [artist] on [service],PlayMusic
Play Out From Under from Hurricane Chris,0 B-track I-track I-track 0 B-artist I-artist ,Play [track] from [artist],PlayMusic
Play a sound track by Pee Wee Russell on Zvooq.,0 0 B-music_item I-music_item 0 B-artist I-artist I-artist 0 B-service 0 ,Play a [music_item] by [artist] on [service].,PlayMusic
Play One Way Ticket by Ray Kennedy.,0 B-track I-track I-track 0 B-artist I-artist 0 ,Play [track] by [artist].,PlayMusic
Play my entertaining playlist,0 0 B-playlist 0 ,Play my [playlist] playlist,PlayMusic
Will you pull up my Jueves de AntaÃ±o playlist,0 0 0 0 0 B-playlist I-playlist I-playlist 0 ,Will you pull up my [playlist] playlist,PlayMusic
