id,tokens,slots,intent
test-00001,BOS what are the coach flights between dallas and baltimore leaving august tenth and returning august twelve EOS,O O O O B-class_type O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number O O B-return_date.month_name B-return_date.day_number O,atis_flight
test-00002,BOS i want a flight from nashville to seattle that arrives no later than 3 pm EOS,O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-arrive_time.time_relative I-arrive_time.time_relative I-arrive_time.time_relative B-arrive_time.time I-arrive_time.time O,atis_flight
test-00003,BOS i need a flight leaving kansas city to chicago leaving next wednesday and returning the following day EOS,O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.date_relative B-depart_date.day_name O O B-return_date.date_relative I-return_date.date_relative I-return_date.date_relative O,atis_flight
test-00004,BOS explain meal codes sd d EOS,O O B-meal O B-meal_code I-meal_code O,atis_abbreviation
test-00005,BOS show me all flights from atlanta to san francisco which leave the day after tomorrow after 5 o'clock pm EOS,O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-depart_date.today_relative I-depart_date.today_relative I-depart_date.today_relative I-depart_date.today_relative B-depart_time.time_relative B-depart_time.time I-depart_time.time I-depart_time.time O,atis_flight
test-00006,BOS i need a flight from toronto to montreal reaching montreal early on friday EOS,O O O O O O B-fromloc.city_name O B-toloc.city_name O B-toloc.city_name B-arrive_time.period_mod O B-arrive_date.day_name O,atis_flight
test-00007,BOS are there any flights from new york to montreal canada leaving on thursday EOS,O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-toloc.country_name O O B-depart_date.day_name O,atis_flight
test-00008,BOS show me ground transportation in philadelphia on monday morning EOS,O O O O O O B-city_name O B-day_name B-period_of_day O,atis_ground_service
test-00009,BOS find a flight from toronto to san diego with a layover in dc on delta airlines EOS,O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O B-stoploc.state_code O B-airline_name I-airline_name O,atis_flight
test-00010,BOS what is restriction ap80 EOS,O O O O B-restriction_code O,atis_restriction
test-00011,BOS list the arizona airport EOS,O O O B-state_name O O,atis_airport
test-00012,BOS what are the nonstop flights on america west or southwest air from kansas city to burbank on saturday may twenty two EOS,O O O O B-flight_stop O O B-airline_name I-airline_name B-or B-airline_name O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-arrive_date.day_name B-arrive_date.month_name B-arrive_date.day_number I-arrive_date.day_number O,atis_flight
test-00013,BOS what times does the late afternoon flight leave from washington for denver EOS,O O B-flight_time O O B-depart_time.period_of_day I-depart_time.period_of_day O O O B-fromloc.city_name O B-toloc.city_name O,atis_flight_time
test-00014,BOS what does the meal code s stand for EOS,O O O O B-meal O B-meal_code O O O,atis_abbreviation
test-00015,BOS is there ground transportation from the memphis airport into town when if i arrive at 842 in the morning EOS,O O O O O O O B-airport_name I-airport_name O O O O O O O O O O B-period_of_day O,atis_ground_service
test-00016,BOS what flights between dfw and oakland arrive in oakland between 1133 am and 43 pm EOS,O O O O B-fromloc.airport_code O B-toloc.city_name O O B-toloc.city_name O B-arrive_time.start_time I-arrive_time.start_time O B-arrive_time.end_time I-arrive_time.end_time O,atis_flight
test-00017,BOS what are the flights on mondays that travel from charlotte north carolina to phoenix arizona EOS,O O O O O O B-depart_date.day_name O O O B-fromloc.city_name B-fromloc.state_name I-fromloc.state_name O B-toloc.city_name B-toloc.state_name O,atis_flight
test-00018,BOS what kind of ground transportation is there in washington dc EOS,O O O O O O O O O B-city_name B-state_code O,atis_ground_service
test-00019,BOS in economy class from dallas to baltimore arriving july seventh i'd like to know what's the cheapest ticket possible EOS,O O B-economy I-economy O B-fromloc.city_name O B-toloc.city_name O B-arrive_date.month_name B-arrive_date.day_number O O O O O O B-cost_relative O O O,atis_airfare
test-00020,BOS show flights from baltimore to san francisco between 6 pm and 8 pm on friday EOS,O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_time.start_time I-depart_time.start_time O B-depart_time.end_time I-depart_time.end_time O B-depart_date.day_name O,atis_flight
test-00021,BOS what meals are available on dl 468 which al arrives in san francisco at 950 am EOS,O O B-meal O O O B-airline_code B-flight_number O O O O B-toloc.city_name I-toloc.city_name O B-arrive_time.time I-arrive_time.time O,atis_meal
test-00022,BOS i want to fly from kansas city to chicago next wednesday arriving in the evening and returning the next day EOS,O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-depart_date.date_relative B-depart_date.day_name O O O B-arrive_time.period_of_day O O O B-return_date.date_relative O O,atis_flight
test-00023,BOS please book for me a flight on twa from washington dc to san francisco earliest possible time EOS,O O O O O O O O B-airline_code O B-fromloc.city_name B-fromloc.state_code O B-toloc.city_name I-toloc.city_name B-flight_mod I-flight_mod I-flight_mod O,atis_flight
test-00024,BOS is there a red eye flight from san jose to nashville on wednesday the nineteenth of may EOS,O O O O B-flight_mod I-flight_mod O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name O B-depart_date.day_number O B-depart_date.month_name O,atis_flight
test-00025,BOS i'd like to arrange for two friends to fly into los angeles next saturday evening one of the people is coming from kansas city and the other is coming from las vegas EOS,O O O O O O O O O O O B-toloc.city_name I-toloc.city_name B-arrive_date.date_relative B-arrive_date.day_name B-arrive_time.period_of_day O O O O O O O B-fromloc.city_name I-fromloc.city_name O O O O O O B-fromloc.city_name I-fromloc.city_name O,atis_flight
test-00026,BOS what is restriction ap 55 EOS,O O O O B-restriction_code I-restriction_code O,atis_abbreviation
test-00027,BOS what is restriction ap 80 EOS,O O O O B-restriction_code I-restriction_code O,atis_abbreviation
test-00028,BOS show me all flights from philadelphia to san francisco with one stop in dallas EOS,O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-flight_stop I-flight_stop O B-stoploc.city_name O,atis_flight
test-00029,BOS show me the flights from miami to san diego with one stop in denver EOS,O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-flight_stop I-flight_stop O B-stoploc.city_name O,atis_flight
test-00030,BOS do you have a flight from atlanta to charlotte north carolina next monday EOS,O O O O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_name I-toloc.state_name B-depart_date.date_relative B-depart_date.day_name O,atis_flight
test-00031,BOS i would like to book an early morning flight from tampa florida to charlotte north carolina on april sixth EOS,O O O O O O O B-depart_time.period_of_day B-depart_time.period_of_day O O B-fromloc.city_name B-fromloc.state_name O B-toloc.city_name B-toloc.state_name I-toloc.state_name O B-depart_date.month_name B-depart_date.day_number O,atis_flight
test-00032,BOS now i'd like flights from philadelphia to pittsburgh leaving between 430 and 530 pm EOS,O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_time.start_time O B-depart_time.end_time I-depart_time.end_time O,atis_flight
test-00033,BOS from sfo to denver EOS,O O B-fromloc.airport_code O B-toloc.city_name O,atis_flight
test-00034,BOS what is the lowest fare from bwi to salt lake city EOS,O O O O B-cost_relative O O B-fromloc.airport_code O B-toloc.city_name I-toloc.city_name I-toloc.city_name O,atis_airfare
test-00035,BOS flight numbers from minneapolis to long beach on june twenty six EOS,O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number O,atis_flight_no
test-00036,BOS which is the flight number for the us air flight from philadelphia to boston is it 279 or is it 137338 EOS,O O O O O O O O B-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name O O B-flight_number B-or O O B-flight_number O,atis_flight_no
test-00037,BOS how much would car rental cost in atlanta EOS,O O O O B-transport_type I-transport_type O O B-city_name O,atis_ground_fare
test-00038,BOS please list the prices for a rental car in pittsburgh EOS,O O O O O O O B-transport_type I-transport_type O B-city_name O,atis_ground_fare
test-00039,BOS what does the restriction ap58 mean EOS,O O O O O B-restriction_code O O,atis_abbreviation
test-00040,BOS list nonstop flights from baltimore washington to oakland that arrive between 445 and 515 pm EOS,O O B-flight_stop O O B-fromloc.city_name B-fromloc.city_name O B-toloc.city_name O O O B-arrive_time.start_time O B-arrive_time.end_time I-arrive_time.end_time O,atis_flight
test-00041,BOS list all of the daily flights arriving in denver from 8 to 9 pm EOS,O O O O O B-flight_days O O O B-toloc.city_name O B-arrive_time.start_time O B-arrive_time.end_time I-arrive_time.end_time O,atis_flight
test-00042,BOS get flights from milwaukee to dtw EOS,O O O O B-fromloc.city_name O B-toloc.airport_code O,atis_flight
test-00043,BOS what is the earliest flight from boston to bwi that serves a snack EOS,O O O O B-flight_mod O O B-fromloc.city_name O B-toloc.airport_code O O O B-meal_description O,atis_flight
test-00044,BOS is bwi washington EOS,O O B-airport_code B-city_name O,atis_city
test-00045,BOS what are the cities that american airlines serves EOS,O O O O O O B-airline_name I-airline_name O O,atis_city
test-00046,BOS which cities are serviced by both american and delta airlines EOS,O O O O O O O B-airline_name O B-airline_name I-airline_name O,atis_city
test-00047,BOS show me all the us air flights to pittsburgh between 12 and 4 in the afternoon EOS,O O O O O B-airline_name I-airline_name O O B-toloc.city_name O B-depart_time.start_time O B-depart_time.end_time O O B-depart_time.period_of_day O,atis_flight
test-00048,BOS what is the cost of limousine service in philadelphia EOS,O O O O O O B-transport_type O O B-city_name O,atis_ground_fare
test-00049,BOS how much does the limousine service cost within pittsburgh EOS,O O O O O B-transport_type O O O B-city_name O,atis_ground_fare
test-00050,BOS on november twenty third of this year 1991 i'd like to fly from atlanta to denver and i'd like to fly on delta EOS,O O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number O O B-depart_date.year O O O O O O B-fromloc.city_name O B-toloc.city_name O O O O O O B-airline_name O,atis_flight
test-00051,BOS can you tell me the flights on october fifteenth 1991 from boston to oakland EOS,O O O O O O O O B-depart_date.month_name B-depart_date.day_number B-depart_date.year O B-fromloc.city_name O B-toloc.city_name O,atis_flight
test-00052,BOS show me all united flights from denver to san francisco for september first 1991 EOS,O O O O B-airline_name O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.month_name B-depart_date.day_number B-depart_date.year O,atis_flight
test-00053,BOS information on american airline flights from washington to philadelphia early morning times of flight EOS,O O O B-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name B-depart_time.period_of_day B-depart_time.period_of_day B-flight_time I-flight_time I-flight_time O,atis_flight
test-00054,BOS please give me the flight times i would like to fly from boston to baltimore in the morning before 8 EOS,O O O O O B-flight_time I-flight_time O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_time.period_of_day B-depart_time.time_relative B-depart_time.time O,atis_flight_time
test-00055,BOS please list the flight times for boston to pittsburgh EOS,O O O O B-flight_time I-flight_time O B-fromloc.city_name O B-toloc.city_name O,atis_flight_time
test-00056,BOS show me all flights and fares from dallas to san francisco EOS,O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O,atis_flight#atis_airfare
test-00057,BOS please list me the flights and their cost of all airlines flying from denver to baltimore EOS,O O O O O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O,atis_flight#atis_airfare
test-00058,BOS give me the flights and fares on december twenty seventh from indianapolis to orlando EOS,O O O O O O O O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number O B-fromloc.city_name O B-toloc.city_name O,atis_flight#atis_airfare
test-00059,BOS what is phl EOS,O O O B-airport_code O,atis_abbreviation
test-00060,BOS is there ground transportation from lga into new york city EOS,O O O O O O B-airport_code O B-city_name I-city_name I-city_name O,atis_ground_service
test-00061,BOS what is tpa EOS,O O O B-airport_code O,atis_abbreviation
test-00062,BOS how far is toronto international from downtown EOS,O O O O B-airport_name I-airport_name O O O,atis_distance
test-00063,BOS how far is los angeles international from downtown EOS,O O O O B-airport_name I-airport_name I-airport_name O O O,atis_distance
test-00064,BOS how long does a flight from baltimore to san francisco take EOS,O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O,atis_distance
test-00065,BOS what airport in new york is closest to downtown EOS,O O O O B-fromloc.city_name I-fromloc.city_name O B-mod O O O,atis_airport
test-00066,BOS houston airports EOS,O B-city_name O O,atis_airport
test-00067,BOS give me a list of airports in baltimore EOS,O O O O O O O O B-city_name O,atis_airport
test-00068,BOS where does delta fly to that american doesn't EOS,O O O B-airline_name O O O B-airline_name B-mod O,atis_flight
test-00069,BOS which airline has the smallest plane leaving pittsburgh and arriving in baltimore on july fourth EOS,O O O O O B-mod O O B-fromloc.city_name O O O B-toloc.city_name O B-arrive_date.month_name B-arrive_date.day_number O,atis_airline
test-00070,BOS which flight from pittsburgh to baltimore carries the smallest number of passengers EOS,O O O O B-fromloc.city_name O B-toloc.city_name O O B-mod O O O O,atis_flight
test-00071,BOS what is the first flight from boston to stapleton airport for tomorrow EOS,O O O O B-flight_mod O O B-fromloc.city_name O B-toloc.airport_name I-toloc.airport_name O B-depart_date.today_relative O,atis_flight
test-00072,BOS list all the flights that arrive at general mitchell international EOS,O O O O O O O O B-toloc.airport_name I-toloc.airport_name I-toloc.airport_name O,atis_flight
test-00073,BOS how much does it cost to go from downtown to logan airport EOS,O O O O O O O O O O O B-toloc.airport_name I-toloc.airport_name O,atis_airfare
test-00074,BOS show me flights from all airports to love field EOS,O O O O O O O O B-toloc.airport_name I-toloc.airport_name O,atis_flight
test-00075,BOS flights from cincinnati to o'hare departing after 718 am american EOS,O O O B-fromloc.city_name O B-toloc.airport_name O B-depart_time.time_relative B-depart_time.time I-depart_time.time B-airline_name O,atis_flight
test-00076,BOS show me all flights to dallas that are less than 1500 dollars round trip EOS,O O O O O O B-toloc.city_name O O B-cost_relative O B-fare_amount I-fare_amount B-round_trip I-round_trip O,atis_flight
test-00077,BOS round trip fares from pittsburgh to philadelphia under 1000 dollars EOS,O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name B-cost_relative B-fare_amount I-fare_amount O,atis_airfare
test-00078,BOS round trip fares from baltimore to philadelphia under 1000 dollars EOS,O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name B-cost_relative B-fare_amount I-fare_amount O,atis_airfare
test-00079,BOS all flights from baltimore to philadelphia less than 1000 dollars EOS,O O O O B-fromloc.city_name O B-toloc.city_name B-cost_relative O B-fare_amount I-fare_amount O,atis_flight
test-00080,BOS how many seats in a 100 EOS,O O O O O O B-aircraft_code O,atis_capacity
test-00081,BOS how many passengers can a boeing 737 hold EOS,O O O O O O O B-aircraft_code O O,atis_capacity
test-00082,BOS what is the seating capacity of a dc9 EOS,O O O O O O O O B-aircraft_code O,atis_capacity
test-00083,BOS what is the seating capacity for delta be1 EOS,O O O O O O O B-airline_name B-aircraft_code O,atis_capacity
