utterance,labels,delexicalised,intent
what's the current temperature in Paris,O O O O O O B-city ,what's the current temperature in _city_,snips-assistant:TemperatureForecast
temperature forecast for tonight,O O B-forecast_datetime I-forecast_datetime ,temperature forecast _forecast_datetime_,snips-assistant:TemperatureForecast
temperatures expected this evening,O O B-forecast_datetime I-forecast_datetime ,temperatures expected _forecast_datetime_,snips-assistant:TemperatureForecast
expected temperatures,O O ,expected temperatures,snips-assistant:TemperatureForecast
temperature predictions please,O O O ,temperature predictions please,snips-assistant:TemperatureForecast
temperature forecast please,O O O ,temperature forecast please,snips-assistant:TemperatureForecast
give me the predicted temperatures for london for tomorrow,O O O O O O B-city B-forecast_datetime I-forecast_datetime ,give me the predicted temperatures for _city_ _forecast_datetime_,snips-assistant:TemperatureForecast
give me the predicted temperatures for spain over the week,O O O O O O B-country B-forecast_datetime I-forecast_datetime I-forecast_datetime ,give me the predicted temperatures for _country_ _forecast_datetime_,snips-assistant:TemperatureForecast
Can you give me the temperature in Paris for tomorrow,O O O O O O O B-city B-forecast_datetime I-forecast_datetime ,Can you give me the temperature in _city_ _forecast_datetime_,snips-assistant:TemperatureForecast
Give me the latest temperature forecast ,O O O O O O ,Give me the latest temperature forecast ,snips-assistant:TemperatureForecast
Temperature in London for this afternoon,O O B-city B-forecast_datetime I-forecast_datetime I-forecast_datetime ,Temperature in _city_ _forecast_datetime_,snips-assistant:TemperatureForecast
Provide me with temperature forecast for Paris,O O O O O O B-city ,Provide me with temperature forecast for _city_,snips-assistant:TemperatureForecast
What's the temperature today in the State of Indiana,O O O O B-forecast_datetime O O B-region I-region I-region ,What's the temperature _forecast_datetime_ in the _region_,snips-assistant:TemperatureForecast
What about the temperature in Spanish Guinea,O O O O O B-country I-country ,What about the temperature in _country_,snips-assistant:TemperatureForecast
I'd like to know the temperature for friday in Federal Islamic Republic of the Comoros,O O O O O O O B-forecast_datetime I-forecast_datetime O B-country I-country I-country I-country I-country I-country ,I'd like to know the temperature _forecast_datetime_ in _country_,snips-assistant:TemperatureForecast
what is the temperature on wednesday in Holland,O O O O B-forecast_datetime I-forecast_datetime O B-country ,what is the temperature _forecast_datetime_ in _country_,snips-assistant:TemperatureForecast
Let me know the temperature of Jamaica,O O O O O O B-country ,Let me know the temperature of _country_,snips-assistant:TemperatureForecast
Provide the temperature report for Ohio,O O O O O B-region ,Provide the temperature report for _region_,snips-assistant:TemperatureForecast
For Togo tomorrow what is the temperature report,O B-country B-forecast_datetime O O O O O ,For _country_ _forecast_datetime_ what is the temperature report,snips-assistant:TemperatureForecast
How much time difference is there between Berlin and San Francisco California,O O O O O O O B-location_base O B-location_target I-location_target B-location_target ,How much time difference is there between _location_base_ and _location_target_ _location_target_,snips-assistant:GetTimeDifference_V2
How much time difference is there between San Jose State of California and New York City,O O O O O O O B-location_base I-location_base B-location_base I-location_base I-location_base O B-location_target I-location_target I-location_target ,How much time difference is there between _location_base_ _location_base_ and _location_target_,snips-assistant:GetTimeDifference_V2
How much time difference is there between Madrid Spain and Paris France,O O O O O O O B-location_base B-location_base O B-location_target B-location_target ,How much time difference is there between _location_base_ _location_base_ and _location_target_ _location_target_,snips-assistant:GetTimeDifference_V2
How much time difference is there between the State of California and Paris France,O O O O O O O O B-location_base I-location_base I-location_base O B-location_target B-location_target ,How much time difference is there between the _location_base_ and _location_target_ _location_target_,snips-assistant:GetTimeDifference_V2
Do Arizona and Pennsylvania have a time difference ,O B-location_base O B-location_target O O O O ,Do _location_base_ and _location_target_ have a time difference ,snips-assistant:GetTimeDifference_V2
Do Berlin and Madrid have a time difference ,O B-location_base O B-location_target O O O O ,Do _location_base_ and _location_target_ have a time difference ,snips-assistant:GetTimeDifference_V2
Give me the timer difference between Paris and London,O O O O O O B-location_base O B-location_target ,Give me the timer difference between _location_base_ and _location_target_,snips-assistant:GetTimeDifference_V2
What is the time difference between Toronto and San Jose,O O O O O O B-location_base O B-location_target I-location_target ,What is the time difference between _location_base_ and _location_target_,snips-assistant:GetTimeDifference_V2
What's the time difference between Madrid and San Diego,O O O O O O B-location_base O B-location_target I-location_target ,What's the time difference between _location_base_ and _location_target_,snips-assistant:GetTimeDifference_V2
What's the time difference between Paris and London,O O O O O O B-location_base O B-location_target ,What's the time difference between _location_base_ and _location_target_,snips-assistant:GetTimeDifference_V2
What's the Hawaii and South Carolina time difference,O O O B-location_base O B-location_target I-location_target O O ,What's the _location_base_ and _location_target_ time difference,snips-assistant:GetTimeDifference_V2
What's the time difference from Las Cruces to North Charleston,O O O O O O B-location_base I-location_base O B-location_target I-location_target ,What's the time difference from _location_base_ to _location_target_,snips-assistant:GetTimeDifference_V2
What's the time difference between Inglewood Mississippi and Buffalo,O O O O O O B-location_base B-location_base O B-location_target ,What's the time difference between _location_base_ _location_base_ and _location_target_,snips-assistant:GetTimeDifference_V2
How many hours ahead is Florida compared to Arkansas,O O O O O B-location_base O O B-location_target ,How many hours ahead is _location_base_ compared to _location_target_,snips-assistant:GetTimeDifference_V2
What's the time difference between Boise and West Jordan,O O O O O O B-location_base O B-location_target I-location_target ,What's the time difference between _location_base_ and _location_target_,snips-assistant:GetTimeDifference_V2
What is the time difference between Nebraska and Alabama,O O O O O O B-location_base O B-location_target ,What is the time difference between _location_base_ and _location_target_,snips-assistant:GetTimeDifference_V2
Do Illinois and Lakewood have a time difference,O B-location_base O B-location_target O O O O ,Do _location_base_ and _location_target_ have a time difference,snips-assistant:GetTimeDifference_V2
I want to know the time difference between United States and Colorado Springs,O O O O O O O O B-location_base I-location_base O B-location_target I-location_target ,I want to know the time difference between _location_base_ and _location_target_,snips-assistant:GetTimeDifference_V2
What's the time difference between Canada and USA,O O O O O O B-location_base O B-location_target ,What's the time difference between _location_base_ and _location_target_,snips-assistant:GetTimeDifference_V2
Do Mexico and United States of America have a time difference,O B-location_base O B-location_target I-location_target I-location_target I-location_target O O O O ,Do _location_base_ and _location_target_ have a time difference,snips-assistant:GetTimeDifference_V2
Is there a time difference from Morocco to Sudan,O O O O O O B-location_base O B-location_target ,Is there a time difference from _location_base_ to _location_target_,snips-assistant:GetTimeDifference_V2
Do Hawaii and Utah have a time difference,O B-location_base O B-location_target O O O O ,Do _location_base_ and _location_target_ have a time difference,snips-assistant:GetTimeDifference_V2
Silence,O ,Silence,snips-assistant:Silence
Silence,O ,Silence,snips-assistant:Silence
Silence,O ,Silence,snips-assistant:Silence
can you point me at a great taqueria close by,O O O O O O B-search_variable B-location_type B-search_variable I-search_variable ,can you point me at a _search_variable_ _location_type_ _search_variable_,snips-assistant:CheckAround
can you point me at cool sushi restaurants in wall street,O O O O O B-search_variable B-location_type I-location_type O B-location_name I-location_name ,can you point me at _search_variable_ _location_type_ in _location_name_,snips-assistant:CheckAround
is there any top-rated sushi place in this area,O O O B-search_variable B-location_type O B-search_variable I-search_variable I-search_variable ,is there any _search_variable_ _location_type_ place _search_variable_,snips-assistant:CheckAround
is there any open gas station around,O O O B-search_variable B-location_type I-location_type B-search_variable ,is there any _search_variable_ _location_type_ _search_variable_,snips-assistant:CheckAround
is there a gas station that is open nearby,O O O B-location_type I-location_type O O B-search_variable B-search_variable ,is there a _location_type_ that is _search_variable_ _search_variable_,snips-assistant:CheckAround
is there a post office nearby,O O O B-location_type I-location_type B-search_variable ,is there a _location_type_ _search_variable_,snips-assistant:CheckAround
i want to find some top-rated pizza near liberty street,O O O O O B-search_variable B-location_type B-search_variable B-location_name I-location_name ,i want to find some _search_variable_ _location_type_ _search_variable_ _location_name_,snips-assistant:CheckAround
i want to eat some top-rated burger near me,O O O O O B-search_variable B-location_type B-search_variable I-search_variable ,i want to eat some _search_variable_ _location_type_ _search_variable_,snips-assistant:CheckAround
i want to eat some tacos nearby,O O O O O B-location_type B-search_variable ,i want to eat some _location_type_ _search_variable_,snips-assistant:CheckAround
i want to eat some tacos on wall street,O O O O O B-location_type O B-location_name I-location_name ,i want to eat some _location_type_ on _location_name_,snips-assistant:CheckAround
tell me some open post offices near wall street,O O O B-search_variable B-location_type I-location_type O B-location_name I-location_name ,tell me some _search_variable_ _location_type_ near _location_name_,snips-assistant:CheckAround
tell me some vietnamese places on liberty street,O O O B-location_type O O B-location_name I-location_name ,tell me some _location_type_ places on _location_name_,snips-assistant:CheckAround
tell me italian restaurants on john street,O O B-location_type I-location_type O B-location_name I-location_name ,tell me _location_type_ on _location_name_,snips-assistant:CheckAround
does the burger king on wall street have any post offices around it,O O B-location_name I-location_name O B-location_name I-location_name O O B-location_type I-location_type B-search_variable O ,does the _location_name_ on _location_name_ have any _location_type_ _search_variable_ it,snips-assistant:CheckAround
show me great taco places nearby,O O B-search_variable B-location_type O B-search_variable ,show me _search_variable_ _location_type_ places _search_variable_,snips-assistant:CheckAround
i want to see top mexican places on 12th avenue,O O O O B-search_variable B-location_type O O B-location_name I-location_name ,i want to see _search_variable_ _location_type_ places on _location_name_,snips-assistant:CheckAround
i want to see open post offices near here,O O O O B-search_variable B-location_type I-location_type B-search_variable I-search_variable ,i want to see _search_variable_ _location_type_ _search_variable_,snips-assistant:CheckAround
i want to see top rated pizza places on wall street,O O O O B-search_variable I-search_variable B-location_type I-location_type O B-location_name I-location_name ,i want to see _search_variable_ _location_type_ on _location_name_,snips-assistant:CheckAround
i want to see the best rated indonesians on 21st street,O O O O O B-search_variable I-search_variable B-location_type O B-location_name I-location_name ,i want to see the _search_variable_ _location_type_ on _location_name_,snips-assistant:CheckAround
does 11th avenue have any poke place close by,O B-location_name I-location_name O O B-location_type I-location_type B-search_variable I-search_variable ,does _location_name_ have any _location_type_ _search_variable_,snips-assistant:CheckAround
does wall street have a post office near it,O B-location_name I-location_name O O B-location_type I-location_type B-search_variable O ,does _location_name_ have a _location_type_ _search_variable_ it,snips-assistant:CheckAround
