utterance,labels,delexicalised,intent
can you put on Like A Hurricane by Paul Landers,O O O O B-album I-album I-album O B-artist I-artist ,can you put on _album_ by _artist_,PlayMusic
Play The Happy Blues by Ronnie Wood,O B-album I-album I-album O B-artist I-artist ,Play _album_ by _artist_,PlayMusic
Play the newest melody on Last Fm by Eddie Vinson,O O B-sort B-music_item O B-service I-service O B-artist I-artist ,Play the _sort_ _music_item_ on _service_ by _artist_,PlayMusic
Use Groove Shark to play music,O B-service I-service O O O ,Use _service_ to play music,PlayMusic
Please play something good from U-roy  Any song from 1975 on Zvooq will do,O O O B-sort O B-artist O B-music_item O B-year O B-service O O ,Please play something _sort_ from _artist_  Any _music_item_ from _year_ on _service_ will do,PlayMusic
Play a symphony from 2013,O O B-music_item O B-year ,Play a _music_item_ from _year_,PlayMusic
Let me hear the good songs from James Iha,O O O O B-sort O O B-artist I-artist ,Let me hear the _sort_ songs from _artist_,PlayMusic
Play my inventive playlist,O O B-playlist O ,Play my _playlist_ playlist,PlayMusic
I want to play music from iheart,O O O O O O B-service ,I want to play music from _service_,PlayMusic
Play Subconscious Lobotomy from Jennifer Paull,O B-album I-album O B-artist I-artist ,Play _album_ from _artist_,PlayMusic
I want to hear a seventies sound track,O O O O O B-year B-music_item I-music_item ,I want to hear a _year_ _music_item_,PlayMusic
play a john maher track,O O B-artist I-artist B-music_item ,play a _artist_ _music_item_,PlayMusic
Please play something from Dihan Slabbert that's on the top fifty,O O O O B-artist I-artist O O O O B-sort I-sort ,Please play something from _artist_ that's on the _sort_,PlayMusic
Please play something catchy on Youtube,O O O B-playlist O B-service ,Please play something _playlist_ on _service_,PlayMusic
Play something from 2004 by Imogen Heap on spotify,O O O B-year O B-artist I-artist O B-service ,Play something from _year_ by _artist_ on _service_,PlayMusic
Play seventies music please,O B-year O O ,Play _year_ music please,PlayMusic
Play music from the artist sean yseult and sort it through top-50,O O O O O B-artist I-artist O O O O B-sort ,Play music from the artist _artist_ and sort it through _sort_,PlayMusic
Play anything Jd Natasha did in the thirties,O O B-artist I-artist O O O B-year ,Play anything _artist_ did in the _year_,PlayMusic
Play music off Netflix,O O O B-service ,Play music off _service_,PlayMusic
nineties songs on Zvooq,B-year O O B-service ,_year_ songs on _service_,PlayMusic
Open itunes and play Ben Burnley Ready To Die,O B-service O O B-artist I-artist B-album I-album I-album ,Open _service_ and play _artist_ _album_,PlayMusic
Play an ep by Zak Starkey,O O B-music_item O B-artist I-artist ,Play an _music_item_ by _artist_,PlayMusic
Play an album from Nithyasree Mahadevan,O O B-music_item O B-artist I-artist ,Play an _music_item_ from _artist_,PlayMusic
I want to listen to something on Youtube,O O O O O O O B-service ,I want to listen to something on _service_,PlayMusic
Start playing something from Iheart,O O O O B-service ,Start playing something from _service_,PlayMusic
Play Trance Life on Zvooq,O B-playlist I-playlist O B-service ,Play _playlist_ on _service_,PlayMusic
Find and play a concerto on Zvooq from 1978 by Ginger Pooley,O O O O B-music_item O B-service O B-year O B-artist I-artist ,Find and play a _music_item_ on _service_ from _year_ by _artist_,PlayMusic
Play All Things Must Pass,O B-track I-track I-track I-track ,Play _track_,PlayMusic
I want to hear music from Allen Toussaint from the fifties,O O O O O O B-artist I-artist O O B-year ,I want to hear music from _artist_ from the _year_,PlayMusic
Turn on Last Fm,O O B-service I-service ,Turn on _service_,PlayMusic
Play a song by Rahsaan Patterson,O O B-music_item O B-artist I-artist ,Play a _music_item_ by _artist_,PlayMusic
play Femme Fatale by Bonobo,O B-track I-track O B-artist ,play _track_ by _artist_,PlayMusic
Play some anneliese van der pol from the thirties on Groove Shark,O O B-artist I-artist I-artist I-artist O O B-year O B-service I-service ,Play some _artist_ from the _year_ on _service_,PlayMusic
I want to listen to an ep from 1998,O O O O O O B-music_item O B-year ,I want to listen to an _music_item_ from _year_,PlayMusic
Play Paul Mccartney,O B-artist I-artist ,Play _artist_,PlayMusic
play Jill Sobule album,O B-album I-album B-music_item ,play _album_ _music_item_,PlayMusic
Play chant's from 1973,O B-music_item O O B-year ,Play _music_item_'s from _year_,PlayMusic
Play something from 90s Pop Rock Essentials,O O O B-playlist I-playlist I-playlist I-playlist ,Play something from _playlist_,PlayMusic
Play Have You Met Miss Jones by Nicole from Google Music,O B-track I-track I-track I-track I-track O B-artist O B-service I-service ,Play _track_ by _artist_ from _service_,PlayMusic
play chant by Nigger Kojak on Itunes,O B-music_item O B-artist I-artist O B-service ,play _music_item_ by _artist_ on _service_,PlayMusic
Play some sixties songs on Google Music,O O B-year O O B-service I-service ,Play some _year_ songs on _service_,PlayMusic
Play a fifties album from Dj Yoda on Last Fm,O O B-year B-music_item O B-artist I-artist O B-service I-service ,Play a _year_ _music_item_ from _artist_ on _service_,PlayMusic
Please play my ecstatic playlist,O O O B-playlist O ,Please play my _playlist_ playlist,PlayMusic
Open deezer and play Curtain Call: The Hits by Junichi Okada,O B-service O O B-album I-album I-album I-album I-album O B-artist I-artist ,Open _service_ and play _album_ by _artist_,PlayMusic
Let's play Jamie Robertson's Handover on vimeo ,O O O B-artist I-artist O B-album O B-service ,Let's play _artist_'s _album_ on _service_,PlayMusic
play a sixties soundtrack,O O B-year B-music_item ,play a _year_ _music_item_,PlayMusic
Play This Is: Miles Davis on Lastfm,O B-playlist I-playlist I-playlist I-playlist I-playlist O B-service ,Play _playlist_ on _service_,PlayMusic
Live In LaJoseph Meyer please,B-album I-album I-album B-artist I-artist O ,_album__artist_ please,PlayMusic
Play the top twenty Hisham Abbas on Youtube,O O B-sort I-sort B-artist I-artist O B-service ,Play the _sort_ _artist_ on _service_,PlayMusic
play some seventies Filipp Kirkorow,O O B-year B-artist I-artist ,play some _year_ _artist_,PlayMusic
Play the most popular Puretone,O O B-sort I-sort B-artist ,Play the _sort_ _artist_,PlayMusic
Play music from E-type,O O O B-artist ,Play music from _artist_,PlayMusic
Can you play Aj Pero on Groove Shark,O O O B-artist I-artist O B-service I-service ,Can you play _artist_ on _service_,PlayMusic
Play a Bob Burns song,O O B-artist I-artist B-music_item ,Play a _artist_ _music_item_,PlayMusic
I want to hear Leroi Moore on vimeo  play the song Chance Of A Lifetime,O O O O B-artist I-artist O B-service O O B-music_item B-track I-track I-track I-track ,I want to hear _artist_ on _service_  play the _music_item_ _track_,PlayMusic
Play some symphony music from David Lindley,O O B-music_item O O B-artist I-artist ,Play some _music_item_ music from _artist_,PlayMusic
Please play something on Iheart from artist Ari Gold last album,O O O O B-service O O B-artist I-artist B-sort B-music_item ,Please play something on _service_ from artist _artist_ _sort_ _music_item_,PlayMusic
I want to hear them from the artist Murcof,O O O O B-music_item O O O B-artist ,I want to hear _music_item_ from the artist _artist_,PlayMusic
Play sound track music from the twenties,O B-music_item I-music_item O O O B-year ,Play _music_item_ music from the _year_,PlayMusic
Play Dance With The Devil by Mr Lordi,O B-track I-track I-track I-track O B-artist I-artist ,Play _track_ by _artist_,PlayMusic
Play music from 1996,O O O B-year ,Play music from _year_,PlayMusic
Go to Itunes and play Dr Lecter by David Hodges,O O B-service O O B-album I-album O B-artist I-artist ,Go to _service_ and play _album_ by _artist_,PlayMusic
Play Street Dad from Hiromitsu Agatsuma through Pandora,O B-album I-album O B-artist I-artist O B-service ,Play _album_ from _artist_ through _service_,PlayMusic
Play some movement from the fourties,O O B-music_item O O B-year ,Play some _music_item_ from the _year_,PlayMusic
Please tune into Chieko Ochi's good music,O B-music_item O B-artist I-artist O B-sort O ,Please _music_item_ into _artist_'s _sort_ music,PlayMusic
Play the greatest music from Bryan Maclean,O O B-sort O O B-artist I-artist ,Play the _sort_ music from _artist_,PlayMusic
Play something on Last Fm,O O O B-service I-service ,Play something on _service_,PlayMusic
Play music by Joy Nilo,O O O B-artist I-artist ,Play music by _artist_,PlayMusic
play some Gary Lee Conner,O O B-artist I-artist I-artist ,play some _artist_,PlayMusic
Play music by Brian Chase,O O O B-artist I-artist ,Play music by _artist_,PlayMusic
Can you play top Zvooq by Fink,O O O B-sort B-service O B-artist ,Can you play _sort_ _service_ by _artist_,PlayMusic
play the top-20 Nawang Khechog soundtrack,O O B-sort B-artist I-artist B-music_item ,play the _sort_ _artist_ _music_item_,PlayMusic
Let's hear stuff from Andrew Hewitt,O O O O O B-artist I-artist ,Let's hear stuff from _artist_,PlayMusic
Play a good ep from the eighties by Peter Murphy,O O B-sort B-music_item O O B-year O B-artist I-artist ,Play a _sort_ _music_item_ from the _year_ by _artist_,PlayMusic
Play Another Passenger from Louis Nelson Delisle,O B-album I-album O B-artist I-artist I-artist ,Play _album_ from _artist_,PlayMusic
Play the top music from The Railway Children off Last Fm,O O B-sort O O B-artist I-artist I-artist O B-service I-service ,Play the _sort_ music from _artist_ off _service_,PlayMusic
play the best Becca,O O B-sort B-artist ,play the _sort_ _artist_,PlayMusic
Play something by Duke Ellington from the seventies,O O O B-artist I-artist O O B-year ,Play something by _artist_ from the _year_,PlayMusic
Use the last fm service to play A Mis Niños de 30,O O B-service I-service O O O B-playlist I-playlist I-playlist I-playlist I-playlist ,Use the _service_ service to play _playlist_,PlayMusic
Play my Black Sabbath: The Dio Years playlist,O O B-playlist I-playlist I-playlist I-playlist I-playlist I-playlist O ,Play my _playlist_ playlist,PlayMusic
Play an ep from Mike Harding,O O B-music_item O B-artist I-artist ,Play an _music_item_ from _artist_,PlayMusic
