utterance,labels,delexicalised,intent
I need to hear the song Aspro Mavro from Bill Szymczyk on Youtube,O O O O O B-music_item B-track I-track O B-artist I-artist O B-service ,I need to hear the _music_item_ _track_ from _artist_ on _service_,PlayMusic
play Yo Ho from the new york pops on Youtube,O B-track I-track O B-artist I-artist I-artist I-artist O B-service ,play _track_ from _artist_ on _service_,PlayMusic
Play some seventies music by Janne Puurtinen on Youtube,O O B-year O O B-artist I-artist O B-service ,Play some _year_ music by _artist_ on _service_,PlayMusic
play the Música Da Série De Filmes O Hobbit album by Alex Otaola,O O B-album I-album I-album I-album I-album I-album I-album B-music_item O B-artist I-artist ,play the _album_ _music_item_ by _artist_,PlayMusic
Play Magic Sam from the thirties,O B-artist I-artist O O B-year ,Play _artist_ from the _year_,PlayMusic
Play The Soft Parade,O B-track I-track I-track ,Play _track_,PlayMusic
Play music by blowfly from the seventies,O O O B-artist O O B-year ,Play music by _artist_ from the _year_,PlayMusic
play Jeff Pilson on Youtube,O B-artist I-artist O B-service ,play _artist_ on _service_,PlayMusic
play a tune by Syreeta Wright from twenties from the top,O O B-music_item O B-artist I-artist O B-year O O B-sort ,play a _music_item_ by _artist_ from _year_ from the _sort_,PlayMusic
Please play me Jerry Lee Lewis's If You Say So track,O O O B-artist I-artist I-artist O B-track I-track I-track I-track B-music_item ,Please play me _artist_'s _track_ _music_item_,PlayMusic
play the newest by Exuma,O O B-sort O B-artist ,play the _sort_ by _artist_,PlayMusic
Play the album alas y raíces by Dave Pybus,O O B-music_item B-album I-album I-album O B-artist I-artist ,Play the _music_item_ _album_ by _artist_,PlayMusic
play music by Helen Ward,O O O B-artist I-artist ,play music by _artist_,PlayMusic
Play some sixties music,O O B-year O ,Play some _year_ music,PlayMusic
Plan an album by Roni Duani,O O B-music_item O B-artist I-artist ,Plan an _music_item_ by _artist_,PlayMusic
I want to listen to Born On The Bayou on Iheart,O O O O O B-track I-track I-track I-track O B-service ,I want to listen to _track_ on _service_,PlayMusic
Play the best music by Arthur Johnston,O O B-sort O O B-artist I-artist ,Play the _sort_ music by _artist_,PlayMusic
Play the song gangsta by Siavash Ghomayshi,O O B-music_item B-track O B-artist I-artist ,Play the _music_item_ _track_ by _artist_,PlayMusic
Play Lukasz Gottwald album on Zvooq,O B-artist I-artist B-music_item O B-service ,Play _artist_ _music_item_ on _service_,PlayMusic
Play me some music by Prince Alla from the twenties,O O O O O B-artist I-artist O O B-year ,Play me some music by _artist_ from the _year_,PlayMusic
Play the newest 2016 ep from Boaz Mauda,O O B-sort B-year B-music_item O B-artist I-artist ,Play the _sort_ _year_ _music_item_ from _artist_,PlayMusic
play Escapada,O B-playlist ,play _playlist_,PlayMusic
I'd like to hear music from 1951 preferably a soundtrack,O O O O O O O B-year O O B-music_item ,I'd like to hear music from _year_ preferably a _music_item_,PlayMusic
Play 2003 Ben Burnley on Spotify,O B-year B-artist I-artist O B-service ,Play _year_ _artist_ on _service_,PlayMusic
Play Marche Lorraine by Rachael Lampa,O B-track I-track O B-artist I-artist ,Play _track_ by _artist_,PlayMusic
Play some soul music,O O B-genre O ,Play some _genre_ music,PlayMusic
Play Robin Hood Rescuing Three Squires by Bhupinder Singh,O B-track I-track I-track I-track I-track O B-artist I-artist ,Play _track_ by _artist_,PlayMusic
Play the top-5 songs from Paddy Reilly on zvooq,O O B-sort O O B-artist I-artist O B-service ,Play the _sort_ songs from _artist_ on _service_,PlayMusic
Open Groove Shark and play native us,O B-service I-service O O B-genre I-genre ,Open _service_ and play _genre_,PlayMusic
play chant by Prurient,O B-music_item O B-artist ,play _music_item_ by _artist_,PlayMusic
play Shake Your Head,O B-track I-track I-track ,play _track_,PlayMusic
Play Justin Broadrick's music on Slacker,O B-artist I-artist O O O B-service ,Play _artist_'s music on _service_,PlayMusic
Play some 1954 songs on my Itunes,O O B-year O O O B-service ,Play some _year_ songs on my _service_,PlayMusic
Play a 2011 ballad by Evil Jared Hasselhoff on Lastfm,O O B-year B-music_item O B-artist I-artist I-artist O B-service ,Play a _year_ _music_item_ by _artist_ on _service_,PlayMusic
play laura love songs from 1959,O B-artist I-artist O O B-year ,play _artist_ songs from _year_,PlayMusic
